,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Fortuna,75,US,1576095461,87,40.6,-124.16,59.0,17.22
375,Tabory,29,PL,1576095899,81,53.89,19.53,28.99,5.99
376,Palana,100,RU,1576095899,94,59.08,159.95,11.7,5.73
377,Samarai,99,PG,1576095899,85,-10.62,150.67,77.88,7.0
378,Luganville,75,VU,1576095899,74,-15.51,167.18,78.8,8.05
379,Mokrous,24,RU,1576095900,93,51.24,47.51,26.08,7.67
380,Mulki,0,PL,1576095900,92,49.81,20.51,27.0,5.82
381,Esil,91,KZ,1576095900,95,51.96,66.41,29.43,10.98
382,Grindavik,40,IS,1576095391,79,63.84,-22.43,30.2,25.28
383,Maldonado,75,UY,1576095901,43,-34.91,-54.96,89.6,8.05
384,Methoni,100,GR,1576095901,76,36.82,21.7,53.01,4.7
385,Petropavlovsk-Kamchatskiy,96,RU,1576095367,84,53.05,158.65,6.8,2.24
386,Tambun,40,ID,1576095901,74,-6.26,107.07,78.8,3.36
387,Beringovskiy,100,RU,1576095436,91,63.05,179.32,27.54,4.43
388,Det Udom,15,TH,1576095902,87,14.9,105.08,60.8,4.7
389,Vysokogornyy,100,RU,1576095902,93,50.1,139.13,-2.9,2.06
390,Key West,1,US,1576095902,76,47.93,-96.78,-0.4,5.3
391,Morondava,63,MG,1576095903,96,-20.3,44.28,73.8,2.59
392,Pueblo Nuevo,0,AR,1576095903,19,-32.93,-68.73,95.0,10.29
393,Hosanagara,67,IN,1576095903,77,13.92,75.07,66.61,4.85
394,Youkounkoun,100,GN,1576095903,13,12.53,-13.12,80.26,3.49
395,Mao,20,DO,1576095879,66,19.55,-71.08,84.99,8.05
396,Verkhnyaya Inta,100,RU,1576095905,95,65.99,60.32,16.54,8.99
397,Lasa,75,CY,1576095905,77,34.92,32.53,62.6,8.05
398,Yuryevets,0,RU,1576095905,74,57.32,43.11,23.74,3.67
399,Bubaque,100,GW,1576095906,67,11.28,-15.83,82.15,8.79
400,Khurba,34,RU,1576095906,96,50.41,136.89,-10.82,6.29
401,Itigi,44,TZ,1576095906,87,-5.7,34.5,66.15,1.66
402,Mirante do Paranapanema,75,BR,1576095899,88,-22.29,-51.91,73.4,7.0
403,Lazarev,100,RU,1576095906,88,52.23,141.51,-1.32,7.7
404,Atar,100,MR,1576095489,14,20.52,-13.05,70.56,13.47
405,Luwuk,94,ID,1576095907,68,-0.95,122.79,82.83,4.29
406,Takoradi,5,GH,1576095907,81,4.89,-1.75,81.41,8.05
407,Palmer,75,AU,1576095907,59,-34.85,139.16,62.6,8.05
408,Rorvik,100,NO,1576095854,60,64.86,11.24,41.0,18.34
409,Arlit,54,NE,1576095908,21,18.74,7.39,72.19,11.99
410,Farafangana,100,MG,1576095908,87,-22.82,47.83,78.22,10.56
411,Faya,20,SA,1576095386,87,18.39,42.45,60.8,3.44
412,Dickinson,90,US,1576095857,85,46.88,-102.79,21.0,14.99
413,Vila Velha,82,BR,1576095460,66,-3.71,-38.6,84.2,9.17
414,San Jeronimo,90,PE,1576095909,100,-13.65,-73.37,37.4,13.87
415,Ternate,40,PH,1576095909,83,14.29,120.72,78.8,10.0
416,Houston,1,US,1576095887,33,29.76,-95.37,60.01,9.17
417,Mahajanga,40,MG,1576095479,88,-15.72,46.32,82.4,3.36
418,Kazanskaya,0,RU,1576095910,78,45.41,40.44,38.26,6.55
419,Vila do Maio,68,CV,1576095910,73,15.13,-23.22,73.4,19.46
420,Baruun-Urt,0,MN,1576095910,81,46.68,113.28,5.45,9.13
421,Mendi,100,ET,1576095910,60,9.8,35.1,69.98,1.5
422,Sharjah,20,AE,1576095910,78,25.36,55.39,75.2,4.7
423,Finnsnes,75,NO,1576095911,100,69.23,17.98,37.4,29.97
424,Marsh Harbour,13,BS,1576095496,81,26.54,-77.06,76.84,10.33
425,Virginia Beach,75,US,1576095807,48,36.85,-75.98,44.01,11.41
426,Padang,93,ID,1576095496,96,-0.92,100.36,66.94,3.65
427,Eregli,100,TR,1576095911,77,37.51,34.05,44.26,2.73
428,Boa Vista,40,BR,1576095778,44,2.82,-60.67,93.2,9.17
429,Beeville,90,US,1576095834,71,28.4,-97.75,53.01,10.29
430,Coari,92,BR,1576095912,67,-4.09,-63.14,86.2,2.42
431,Marsa Matruh,40,EG,1576095912,55,31.35,27.25,60.8,18.32
432,Vigia del Fuerte,100,CO,1576095912,90,6.58,-76.89,80.35,2.04
433,Ihosy,82,MG,1576095913,95,-22.4,46.13,67.68,5.32
434,Aykhal,90,RU,1576095463,75,65.95,111.51,-14.8,2.24
435,Yar-Sale,100,RU,1576095439,87,66.83,70.83,14.43,5.61
436,Tazovskiy,68,RU,1576095913,96,67.47,78.7,8.46,9.95
437,Balta,59,UA,1576095914,95,47.94,29.62,37.45,7.11
438,Zlobin,2,HR,1576095448,52,45.29,14.65,46.0,12.75
439,Shihezi,16,CN,1576095507,94,44.3,86.03,15.58,1.39
440,Ponta Delgada,75,PT,1576095501,62,37.73,-25.67,55.4,3.36
441,Omboue,100,GA,1576095487,93,-1.57,9.26,74.91,3.29
442,Byumba,2,RW,1576095915,93,-1.58,30.06,62.01,4.59
443,Torremolinos,20,ES,1576095915,62,36.62,-4.5,62.01,17.22
444,Amberley,1,NZ,1576095915,87,-43.15,172.73,60.01,5.82
445,Prince Rupert,90,CA,1576095915,66,54.32,-130.32,48.2,10.29
446,Nova Londrina,51,BR,1576095915,71,-22.76,-52.99,83.12,5.19
447,Saint-Paul,100,FR,1576095915,93,45.22,1.9,43.0,4.7
448,Jackson,90,US,1576095678,92,43.48,-110.76,28.0,9.17
449,Esna,90,RO,1576095916,93,45.2,27.57,39.2,16.11
450,Sitka,85,US,1576095337,52,37.17,-99.65,54.0,17.0
451,Denpasar,20,ID,1576095916,88,-8.65,115.22,80.6,1.12
452,Dover,1,US,1576095849,48,39.16,-75.52,41.0,12.75
453,Charleston,1,US,1576095908,44,32.79,-79.94,60.8,11.3
454,Verbivka,31,UA,1576095917,89,47.97,38.14,32.88,5.08
455,Emba,75,CY,1576095472,77,34.81,32.42,62.6,8.05
456,Kursumlija,90,RS,1576095917,100,43.14,21.27,35.6,11.41
457,Alice Springs,0,AU,1576095440,16,-23.7,133.88,86.0,12.75
458,Turan,100,RU,1576095666,90,52.15,93.92,0.0,1.28
459,Fonte Boa,100,BR,1576095918,89,-2.51,-66.09,80.08,2.46
460,Aklavik,20,CA,1576095408,83,68.22,-135.01,-11.2,10.29
461,Hun,75,BE,1576095918,93,50.34,4.87,41.0,12.75
462,Khanpur,100,PK,1576095918,55,28.65,70.66,61.38,14.27
463,Nome,1,US,1576095919,41,30.04,-94.42,60.8,8.05
464,Mareeba,75,AU,1576095919,83,-16.99,145.42,78.8,5.82
465,Falmouth,40,GB,1576095920,80,50.16,-5.07,45.0,12.75
466,Cagliari,100,IT,1576095920,73,46.38,10.88,30.99,1.12
467,Deputatskiy,36,RU,1576095436,95,69.3,139.9,-25.6,2.64
468,Xining,0,CN,1576095654,53,36.62,101.77,13.01,5.88
469,Znamenskoye,100,RU,1576095920,90,57.13,73.82,18.05,9.15
470,Den Helder,90,NL,1576095921,93,52.96,4.76,42.8,9.17
471,Arman,0,RU,1576095921,79,59.7,150.17,4.68,11.65
472,Saskylakh,100,RU,1576095421,96,71.97,114.09,-18.85,7.67
473,Ulu-Telyak,100,RU,1576095921,97,54.91,56.98,28.02,8.12
474,Sukumo,53,JP,1576095921,75,32.94,132.72,51.33,27.04
475,Ondjiva,10,AO,1576095921,22,-17.07,15.73,74.46,5.95
476,Byron Bay,62,AU,1576095922,88,-28.65,153.62,75.99,2.24
477,Okhotsk,27,RU,1576095922,64,59.36,143.24,-16.83,9.57
478,Razdolinsk,100,RU,1576095922,92,58.42,94.62,19.45,10.65
479,Yertsevo,100,RU,1576095922,61,60.8,40.09,25.45,8.77
480,Redlands,40,US,1576095772,36,34.06,-117.19,69.8,4.9
481,Lhokseumawe,87,ID,1576095923,91,5.18,97.15,69.64,2.84
482,Coruripe,0,BR,1576095923,79,-10.12,-36.18,79.16,14.03
483,Meulaboh,35,ID,1576095411,77,4.14,96.13,80.04,5.32
484,Rio Tuba,66,PH,1576095923,81,8.51,117.43,80.19,15.14
485,Nkoteng,14,CM,1576095923,64,4.5,12.12,73.42,3.36
486,Montepuez,30,MZ,1576095924,86,-13.13,39.0,75.04,4.83
487,Lorengau,100,PG,1576095426,70,-2.02,147.27,84.51,8.72
488,Hualmay,89,PE,1576095458,66,-11.1,-77.61,71.89,10.36
489,Sikeston,1,US,1576095712,52,36.88,-89.59,48.0,8.05
490,Pokrovsk,86,RU,1576095924,98,61.48,129.14,-31.88,1.81
491,Moree,0,AU,1576095924,53,-29.46,149.84,73.4,5.82
492,Sulangan,6,PH,1576095925,80,11.14,123.72,80.51,14.27
493,Terrace Bay,20,CA,1576095925,63,48.78,-87.1,-5.8,4.7
494,Chapais,90,CA,1576095432,77,49.78,-74.86,3.2,8.05
495,Nouadhibou,100,MR,1576095497,46,20.93,-17.03,71.6,10.29
496,Tongren,28,CN,1576095926,83,27.72,109.18,45.63,3.47
497,Pombia,40,GR,1576095926,87,35.01,24.87,55.99,6.93
498,Falkenberg,90,DE,1576095926,93,49.86,12.22,33.01,3.36
499,Quatre Cocos,75,MU,1576095475,94,-20.21,57.76,80.01,3.36
500,Vestmanna,75,FO,1576095927,93,62.16,-7.17,35.6,21.92
501,Chara,75,GR,1576095927,87,39.42,22.43,46.4,6.93
502,Sao Joao da Barra,75,BR,1576095420,74,-21.64,-41.05,82.4,13.87
503,Inirida,98,CO,1576095927,88,3.87,-67.92,81.18,3.89
504,Stafford,75,US,1576095693,100,39.71,-74.28,39.2,9.17
505,Muroto,8,JP,1576095928,81,33.37,134.14,46.81,4.41
506,Muyezerskiy,100,RU,1576095928,88,63.93,31.65,31.06,18.28
507,Grand Gaube,75,MU,1576095429,94,-20.01,57.66,80.01,3.36
508,Iskateley,54,RU,1576095413,92,67.68,53.15,21.33,12.33
509,Nykoping,90,SE,1576095929,93,58.75,17.01,37.4,3.36
510,Owosso,40,US,1576095929,53,43.0,-84.18,21.99,16.11
511,Gorom-Gorom,100,BF,1576095408,10,14.45,-0.24,77.88,9.08
512,Poshekhonye,99,RU,1576095930,55,58.5,39.12,28.0,8.08
513,Tairua,99,NZ,1576095930,55,-37.02,175.85,75.0,7.07
514,Dasoguz,90,TM,1576095930,86,41.84,59.97,39.2,4.7
515,Payyannur,40,IN,1576095930,94,12.1,75.2,75.2,3.36
516,Tezu,87,IN,1576095931,71,27.93,96.16,56.62,3.27
517,San Juan Bautista,14,PY,1576095931,30,-26.67,-57.15,96.46,2.66
518,Neiafu,20,TO,1576095500,88,-18.65,-173.98,73.4,6.76
519,Timizart,22,DZ,1576095932,76,36.8,4.25,60.48,25.01
520,Mikkeli,90,FI,1576095932,91,61.69,27.27,32.0,8.05
521,Lompoc,1,US,1576095389,72,34.64,-120.46,64.4,10.29
522,Abu Kamal,92,SY,1576095932,67,34.45,40.92,54.55,8.57
523,Sidney,90,US,1576095932,72,47.72,-104.16,15.8,6.93
524,Stephenville,75,CA,1576095423,58,48.55,-58.59,24.8,11.41
525,Dalianwan,29,CN,1576095933,79,39.03,121.69,24.8,2.24
526,Mastic Beach,40,US,1576095933,80,40.77,-72.85,37.4,4.7
527,San Rafael,53,AR,1576095933,11,-34.61,-68.33,89.31,14.14
528,Nagato,75,JP,1576095933,57,34.35,131.14,51.8,19.46
529,Yumen,6,CN,1576095482,51,40.29,97.04,17.04,5.73
530,Vostok,100,RU,1576095420,96,46.45,135.83,2.21,6.35
531,Prieska,0,ZA,1576095462,19,-29.67,22.74,74.84,2.62
532,Korem,100,ET,1576095934,92,12.51,39.52,54.57,3.09
533,Krasnaya Yaruga,90,RU,1576095934,100,50.8,35.66,35.6,2.24
534,Port Macquarie,90,AU,1576095444,88,-31.43,152.91,70.0,5.82
535,Okha,100,RU,1576095935,97,53.59,142.95,6.13,8.52
536,Udachnyy,90,RU,1576095493,75,66.42,112.4,-14.8,2.24
537,Otjimbingwe,0,NA,1576095935,39,-22.35,16.13,70.63,6.04
538,Doha,0,QA,1576095697,68,25.29,51.53,71.6,11.41
539,Impfondo,81,CD,1576095936,83,1.62,18.06,72.07,2.8
540,Rome,33,IT,1576095756,67,41.89,12.48,46.99,3.36
541,Alyangula,0,AU,1576095936,78,-13.85,136.42,82.4,5.82
542,Kalabo,0,ZM,1576095936,55,-15.0,22.67,73.56,4.83
543,Bukama,100,CD,1576095937,94,-9.2,25.85,68.14,1.86
544,Boguchany,99,RU,1576095937,92,58.38,97.46,18.72,8.28
545,Noumea,66,NC,1576095937,56,-22.28,166.46,78.01,2.24
546,Panama City,90,US,1576095423,87,30.16,-85.65,48.0,16.11
547,Voh,0,NC,1576095937,65,-20.95,164.69,74.39,5.06
548,Srandakan,100,ID,1576095938,86,-7.94,110.25,76.69,2.98
